date,version,benchmark,time_ns
2026-04-02T08:38:58Z,1.0.2,satisfies (10 devices, CUDA req),57
2026-04-02T08:38:58Z,1.0.2,satisfies (10 devices, empty req),2
2026-04-02T08:38:58Z,1.0.2,satisfies (1 device, CUDA req),9
2026-04-02T08:38:58Z,1.0.2,devices_of_type CUDA (10 devices),70
2026-04-02T08:38:58Z,1.0.2,total_memory_mb CUDA (10 devices),57
2026-04-02T08:38:58Z,1.0.2,from_hwaccel (8 GPUs + CPU),38181
2026-04-02T08:38:58Z,1.0.2,ProcessSandbox::execute_argv (echo),524880
2026-04-02T08:38:58Z,1.0.2,ProcessSandbox::execute_argv (cat stdin),542560
2026-04-02T08:38:58Z,1.0.2,ProcessSandbox::execute (shell echo),1132100
2026-04-02T08:38:58Z,1.0.2,WasmSandbox::execute (hello stdout),50688000
2026-04-02T08:38:58Z,1.0.2,scheduler_priority/enqueue 100 tasks,10929
2026-04-02T08:38:58Z,1.0.2,scheduler_priority/dequeue 100 tasks (priority order),3822
2026-04-02T08:38:58Z,1.0.2,scheduler_dag/load_dag linear (50 tasks),32908
2026-04-02T08:38:58Z,1.0.2,scheduler_dag/load_dag linear (500 tasks),337330
2026-04-02T08:38:58Z,1.0.2,scheduler_dag/load_dag wide (100 workers),94348
2026-04-02T08:38:58Z,1.0.2,ready_tasks (wide DAG, 100 workers),2210
2026-04-02T08:38:58Z,1.0.2,score_agent (rich context),183
2026-04-02T08:38:58Z,1.0.2,score_agent (no context),24
2026-04-02T08:38:58Z,1.0.2,score_agent (GPU required),77
2026-04-02T08:38:58Z,1.0.2,score_agent (domain mismatch),131
2026-04-02T08:38:58Z,1.0.2,rank_agents (10 agents) time:   [738.78 ns 741.29 ns 743.65 ns],741
2026-04-02T08:38:58Z,1.0.2,rank_agents (100 agents),6953
2026-04-02T08:38:58Z,1.0.2,rank_agents (1000 agents),69460
2026-04-02T08:38:58Z,1.0.2,hardware_inventory_json/serialize (8 devices),939
2026-04-02T08:38:58Z,1.0.2,hardware_inventory_json/deserialize (8 devices),1201
2026-04-02T08:38:58Z,1.0.2,task_json/serialize     time:   [363.96 ns 366.14 ns 368.51 ns],366
2026-04-02T08:38:58Z,1.0.2,task_json/deserialize   time:   [689.21 ns 691.15 ns 693.18 ns],691
2026-04-02T08:38:58Z,1.0.2,agent_definition_from_json,736
2026-04-02T08:38:58Z,1.0.2,resource_budget_json/serialize,94
2026-04-02T08:38:58Z,1.0.2,resource_budget_json/deserialize,97
2026-04-02T08:38:58Z,1.0.2,GET /health             time:   [930.25 ns 933.11 ns 935.96 ns],933
2026-04-02T08:38:58Z,1.0.2,GET /ready              time:   [1.0368 µs 1.0711 µs 1.1096 µs],1071
2026-04-02T08:38:58Z,1.0.2,GET /metrics            time:   [830.18 ns 834.36 ns 838.57 ns],834
2026-04-02T08:38:58Z,1.0.2,GET /api/v1/tools (2 tools),3582
2026-04-02T08:38:58Z,1.0.2,POST /api/v1/crews (1 task, placeholder),22025
2026-04-02T08:38:58Z,1.0.2,POST /mcp (initialize)  time:   [3.4317 µs 3.5314 µs 3.6599 µs],3531
2026-04-02T08:38:58Z,1.0.2,ToolRegistry::get (5 tools),54
2026-04-02T08:38:58Z,1.0.2,ToolRegistry::get (50 tools),58
2026-04-02T08:38:58Z,1.0.2,ToolRegistry::get (500 tools),61
2026-04-02T08:38:58Z,1.0.2,ToolRegistry::has (50 tools, hit),25
2026-04-02T08:38:58Z,1.0.2,ToolRegistry::has (50 tools, miss),18
2026-04-02T08:38:58Z,1.0.2,ToolRegistry::list (50 tools),9444
2026-04-02T08:38:58Z,1.0.2,ToolRegistry::list (500 tools),84038
2026-04-02T08:38:58Z,1.0.2,ToolRegistry::register throughput,838
2026-04-02T08:38:58Z,1.0.2,EchoTool::execute       time:   [80.532 ns 80.706 ns 80.882 ns],81
